Date,lon,lat,y_pred,y_pred_NN,ps_type,irrigation,time_measured,T2M,T2M_MAX,T2M_MIN,source
2026-06-30,-8.824167,41.951667,-0.5093001455068589,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-8.61935,38.6623,-0.4764535248279571,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-8.61935,38.6623,-1.0677334904670714,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-8.117,42.3603,-0.2731620207428932,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-8.117,42.3603,-0.537886592745781,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-8.116474,42.362029,-0.27189126908779143,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-8.116474,42.362029,-0.5373464316129685,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-7.5607,38.38,-0.5495057314634323,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-7.5607,38.38,-1.3416747629642487,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-7.120833,42.398333,-0.3335404977202415,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-7.120833,42.398333,-0.5922319710254669,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-6.666667,38.86,-0.6554585576057435,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-6.666667,38.86,-1.048421162366867,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-3.7383,40.4433,-0.4390953719615937,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-3.7383,40.4433,-1.1899515092372894,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-2.1206,42.3051,-0.2524984493851662,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-2.1206,42.3051,-0.8003090918064117,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-1.783,38.587,-0.5076556831598282,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-1.783,38.587,-1.0689952313899993,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-1.675167,42.415,-0.3831040173768997,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-1.675167,42.415,-0.9886384785175324,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-1.425,38.394333,-0.6262357711791993,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-1.425,38.394333,-1.1769415736198423,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-1.217,39.483333,-0.3738607227802277,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-1.217,39.483333,-0.9074194490909576,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-1.2167,39.4833,-0.37382633090019224,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-1.2167,39.4833,-0.9080830216407776,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-0.673,45.039,-0.16169679537415504,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-0.673,45.039,-0.5833862334489822,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-0.402,39.586667,-0.46440247297286985,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-0.402,39.586667,-1.0556079387664794,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-0.195656,44.920741,-0.1629782199859619,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-0.195656,44.920741,-0.5889727264642716,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,2.6415,39.635667,-0.5056652158498764,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,2.6415,39.635667,-1.0350491225719451,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,3.133494,43.143347,-0.3150437414646149,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,3.133494,43.143347,-0.7544347882270813,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,3.4,43.45,-0.22390590757131576,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,3.4,43.45,-0.7499909341335297,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,3.667,43.75,-0.27339318543672564,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,3.667,43.75,-0.7872539758682251,NA,1,0,15,NA,NA,NA,2015-2025 mean
